,Movie,Rating Score,Total No. of Ratings,Genre,Budget,Gross USA
0,The Shawshank Redemption,9.3,"2,270,426",['Drama'],"25,000,000","28,699,976"
1,The Godfather,9.2,"1,566,081","['Crime', 'Drama']","6,000,000","134,966,411"
2,The Godfather: Part II,9,"1,094,368","['Crime', 'Drama']","13,000,000","47,834,595"
3,The Dark Knight,9,"2,233,382","['Action', 'Crime', 'Drama']","185,000,000","535,234,033"
4,12 Angry Men,8.9,"665,439","['Crime', 'Drama']","350,000",N/A
5,Schindler's List,8.9,"1,178,905","['Biography', 'Drama', 'History']","22,000,000","96,898,818"
6,The Lord of the Rings: The Return of the King,8.9,"1,599,316","['Action', 'Adventure', 'Drama']","94,000,000","377,845,905"
7,Pulp Fiction,8.9,"1,774,270","['Crime', 'Drama']","8,000,000","107,928,762"
8,"Il buono, il brutto, il cattivo",8.8,"670,024",['Western'],"1,200,000","25,100,000"
9,The Lord of the Rings: The Fellowship of the Ring,8.8,"1,614,903","['Action', 'Adventure', 'Drama']","93,000,000","315,544,750"
10,Fight Club,8.8,"1,801,357",['Drama'],"63,000,000","37,030,102"
11,Forrest Gump,8.8,"1,748,859","['Drama', 'Romance']","55,000,000","330,455,270"
12,Inception,8.8,"1,991,653","['Action', 'Adventure', 'Sci-Fi']","160,000,000","292,576,195"
13,Star Wars: Episode V - The Empire Strikes Back,8.7,"1,128,678","['Action', 'Adventure', 'Fantasy']","18,000,000","290,882,960"
14,The Lord of the Rings: The Two Towers,8.7,"1,445,212","['Action', 'Adventure', 'Drama']","94,000,000","342,551,365"
15,The Matrix,8.7,"1,626,356","['Action', 'Sci-Fi']","63,000,000","171,479,930"
16,Goodfellas,8.7,"987,451","['Biography', 'Crime', 'Drama']","25,000,000","46,836,214"
17,One Flew Over the Cuckoo's Nest,8.7,"888,134",['Drama'],"3,000,000","108,981,275"
18,Shichinin no samurai,8.6,"306,700","['Action', 'Adventure', 'Drama']","Budget:JPY125,000,000","318,649"
19,Se7en,8.6,"1,396,501","['Crime', 'Drama', 'Mystery']","33,000,000","100,125,643"
20,La vita è bella,8.6,"603,278","['Comedy', 'Drama', 'Romance']","20,000,000","57,563,264"
21,Cidade de Deus,8.6,"684,103","['Crime', 'Drama']","Budget:BRL3,300,000","7,564,459"
22,The Silence of the Lambs,8.6,"1,229,249","['Crime', 'Drama', 'Thriller']","19,000,000","130,742,922"
23,It's a Wonderful Life,8.6,"386,946","['Drama', 'Family', 'Fantasy']","3,180,000",N/A
24,Star Wars,8.6,"1,200,848","['Action', 'Adventure', 'Fantasy']","11,000,000","460,998,507"
25,Saving Private Ryan,8.6,"1,199,459","['Drama', 'War']","70,000,000","217,049,603"
26,Hamilton,8.8,"31,967","['Biography', 'Drama', 'History']",N/A,N/A
27,Sen to Chihiro no kamikakushi,8.6,"623,006","['Animation', 'Adventure', 'Family']","19,000,000","13,750,644"
28,The Green Mile,8.6,"1,107,934","['Crime', 'Drama', 'Fantasy']","60,000,000","136,801,374"
29,Gisaengchung,8.6,"458,062","['Comedy', 'Drama', 'Thriller']","11,400,000","53,369,749"
30,Interstellar,8.6,"1,439,995","['Adventure', 'Drama', 'Sci-Fi']","165,000,000","188,020,017"
31,Léon,8.5,"1,003,941","['Action', 'Crime', 'Drama']","Budget:FRF115,000,000","19,501,238"
32,The Usual Suspects,8.5,"965,635","['Crime', 'Mystery', 'Thriller']","6,000,000","23,341,568"
33,Seppuku,8.7,"36,549","['Action', 'Drama', 'Mystery']",N/A,N/A
34,The Lion King,8.5,"913,944","['Animation', 'Adventure', 'Drama']","45,000,000","422,783,777"
35,Back to the Future,8.5,"1,022,868","['Adventure', 'Comedy', 'Sci-Fi']","19,000,000","211,266,762"
36,The Pianist,8.5,"705,087","['Biography', 'Drama', 'Music']","35,000,000","32,572,577"
37,Terminator 2: Judgment Day,8.5,"971,996","['Action', 'Sci-Fi']","102,000,000","205,881,154"
38,American History X,8.5,"1,010,991",['Drama'],"20,000,000","6,719,864"
39,Modern Times,8.5,"210,209","['Comedy', 'Drama', 'Family']","1,500,000","163,577"
40,Psycho,8.5,"584,152","['Horror', 'Mystery', 'Thriller']","806,947","32,000,000"
41,Gladiator,8.5,"1,303,479","['Action', 'Adventure', 'Drama']","103,000,000","187,705,427"
42,City Lights,8.5,"161,761","['Comedy', 'Drama', 'Romance']","1,500,000","19,181"
43,The Departed,8.5,"1,155,673","['Crime', 'Drama', 'Thriller']","90,000,000","132,384,315"
44,The Intouchables,8.5,"734,098","['Biography', 'Comedy', 'Drama']","Budget:EUR9,500,000","10,198,820"
45,Whiplash,8.5,"687,227","['Drama', 'Music']","3,300,000","13,092,000"
46,The Prestige,8.5,"1,150,050","['Drama', 'Mystery', 'Sci-Fi']","40,000,000","53,089,891"
47,Hotaru no haka,8.5,"223,812","['Animation', 'Drama', 'War']","3,700,000","516,962"
48,Once Upon a Time in the West,8.5,"293,870",['Western'],"5,000,000",N/A
49,Casablanca,8.5,"508,265","['Drama', 'Romance', 'War']","950,000","4,108,411"
50,Nuovo Cinema Paradiso,8.5,"221,824",['Drama'],"5,000,000","12,397,210"
51,Rear Window,8.4,"430,628","['Mystery', 'Thriller']","1,000,000","36,764,313"
52,Alien,8.4,"765,985","['Horror', 'Sci-Fi']","11,000,000","81,765,459"
53,Apocalypse Now,8.4,"588,749","['Drama', 'Mystery', 'War']","31,500,000","83,471,511"
54,Memento,8.4,"1,094,493","['Mystery', 'Thriller']","9,000,000","25,544,867"
55,Raiders of the Lost Ark,8.4,"862,812","['Action', 'Adventure']","18,000,000","248,159,971"
56,The Great Dictator,8.4,"196,480","['Comedy', 'Drama', 'War']","2,000,000",N/A
57,Joker,8.5,"838,177","['Crime', 'Drama', 'Thriller']","55,000,000","335,451,311"
58,The Lives of Others,8.4,"348,303","['Drama', 'Mystery', 'Thriller']","2,000,000","11,286,112"
59,Django Unchained,8.4,"1,312,812","['Drama', 'Western']","100,000,000","162,805,434"
60,Paths of Glory,8.4,"171,799","['Drama', 'War']","935,000",N/A
61,The Shining,8.4,"865,307","['Drama', 'Horror']","19,000,000","45,332,952"
62,WALL·E,8.4,"971,605","['Animation', 'Adventure', 'Family']","180,000,000","223,808,164"
63,Avengers: Infinity War,8.4,"791,231","['Action', 'Adventure', 'Sci-Fi']","321,000,000","678,815,482"
64,Sunset Blvd.,8.4,"194,875","['Drama', 'Film-Noir']","1,752,000","299,645"
65,Spider-Man: Into the Spider-Verse,8.4,"331,526","['Animation', 'Action', 'Adventure']","90,000,000","190,241,310"
66,Mononoke-hime,8.4,"328,976","['Animation', 'Adventure', 'Fantasy']","Budget:JPY2,400,000,000","4,845,631"
67,Witness for the Prosecution,8.4,"103,815","['Crime', 'Drama', 'Mystery']","3,000,000",N/A
68,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.4,"439,723",['Comedy'],"1,800,000","9,440,272"
69,Oldeuboi,8.4,"499,053","['Action', 'Drama', 'Mystery']","3,000,000","707,481"
70,The Dark Knight Rises,8.4,"1,475,490","['Action', 'Adventure']","250,000,000","448,139,099"
71,Once Upon a Time in America,8.4,"301,015","['Crime', 'Drama']","30,000,000","5,321,508"
72,Avengers: Endgame,8.4,"746,190","['Action', 'Adventure', 'Drama']","356,000,000","858,373,000"
73,Aliens,8.3,"637,530","['Action', 'Adventure', 'Sci-Fi']","18,500,000","85,160,248"
74,Kimi no na wa.,8.4,"176,005","['Animation', 'Drama', 'Fantasy']","Budget:JPY370,000,000","5,017,246"
75,Coco,8.4,"349,130","['Animation', 'Adventure', 'Family']","175,000,000","209,726,015"
76,American Beauty,8.3,"1,046,318",['Drama'],"15,000,000","130,096,601"
77,Braveheart,8.3,"939,427","['Biography', 'Drama', 'History']","72,000,000","75,609,945"
78,3 Idiots,8.4,"330,489","['Comedy', 'Drama']","Budget:INR550,000,000","6,532,874"
79,Das Boot,8.3,"225,576","['Adventure', 'Drama', 'Thriller']","Budget:DEM32,000,000","11,487,676"
80,Toy Story,8.3,"861,528","['Animation', 'Adventure', 'Comedy']","30,000,000","222,498,679"
81,Tengoku to jigoku,8.4,"30,765","['Crime', 'Drama', 'Mystery']",N/A,"46,808"
82,Amadeus,8.3,"359,889","['Biography', 'Drama', 'History']","18,000,000","51,973,029"
83,Taare Zameen Par,8.4,"160,767","['Drama', 'Family']",N/A,"1,223,869"
84,Star Wars: Episode VI - Return of the Jedi,8.3,"925,366","['Action', 'Adventure', 'Fantasy']","32,500,000","309,306,177"
85,Inglourious Basterds,8.3,"1,225,054","['Adventure', 'Drama', 'War']","70,000,000","120,540,719"
86,Reservoir Dogs,8.3,"893,549","['Crime', 'Drama', 'Thriller']","1,200,000","2,832,029"
87,Good Will Hunting,8.3,"834,025","['Drama', 'Romance']","10,000,000","138,433,435"
88,Capharnaüm,8.4,"51,995",['Drama'],"4,000,000","1,661,096"
89,2001: A Space Odyssey,8.3,"585,490","['Adventure', 'Sci-Fi']","12,000,000","60,541,301"
90,Requiem for a Dream,8.3,"745,984",['Drama'],"4,500,000","3,635,482"
91,Vertigo,8.3,"350,820","['Mystery', 'Romance', 'Thriller']","2,479,000","7,705,225"
92,1917,8.3,"352,874","['Drama', 'War']","95,000,000","159,227,644"
93,M - Eine Stadt sucht einen Mörder,8.3,"138,680","['Crime', 'Mystery', 'Thriller']",N/A,"35,566"
94,Dangal,8.4,"146,477","['Action', 'Biography', 'Drama']","Budget:INR700,000,000","12,391,761"
95,Eternal Sunshine of the Spotless Mind,8.3,"886,274","['Drama', 'Romance', 'Sci-Fi']","20,000,000","34,400,301"
96,Jagten,8.3,"268,117",['Drama'],"3,800,000","613,308"
97,Citizen Kane,8.3,"387,918","['Drama', 'Mystery']","839,727","1,585,634"
98,Full Metal Jacket,8.3,"655,817","['Drama', 'War']","30,000,000","46,357,676"
99,Ladri di biciclette,8.3,"140,711",['Drama'],"133,000","371,111"
100,The Kid,8.3,"108,423","['Comedy', 'Drama', 'Family']","250,000",N/A
101,A Clockwork Orange,8.3,"737,926","['Crime', 'Drama', 'Sci-Fi']","2,200,000","26,589,355"
102,North by Northwest,8.3,"290,512","['Adventure', 'Mystery', 'Thriller']","3,101,000",N/A
103,Snatch,8.3,"764,312","['Comedy', 'Crime']","Budget:GBP6,000,000","30,328,156"
104,Singin' in the Rain,8.3,"212,356","['Comedy', 'Musical', 'Romance']","2,540,800","1,826,108"
105,Scarface,8.3,"718,536","['Crime', 'Drama']","25,000,000","45,408,703"
106,Taxi Driver,8.3,"700,190","['Crime', 'Drama']","1,300,000","28,262,574"
107,Amélie,8.3,"688,800","['Comedy', 'Romance']","10,000,000","33,225,499"
108,Lawrence of Arabia,8.3,"260,555","['Adventure', 'Biography', 'Drama']","15,000,000","45,306,425"
109,Toy Story 3,8.3,"737,504","['Animation', 'Adventure', 'Comedy']","200,000,000","415,004,880"
110,Ikiru,8.3,"64,962",['Drama'],N/A,"60,239"
111,The Sting,8.3,"235,543","['Comedy', 'Crime', 'Drama']","5,500,000","156,000,000"
112,Metropolis,8.3,"155,485","['Drama', 'Sci-Fi']","Budget:DEM6,000,000","1,236,166"
113,Jodaeiye Nader az Simin,8.3,"213,308",['Drama'],"500,000","7,099,055"
114,Per qualche dollaro in più,8.3,"224,896",['Western'],"600,000","15,000,000"
115,Incendies,8.3,"141,479","['Drama', 'Mystery', 'War']","6,800,000","2,071,334"
116,The Apartment,8.3,"158,146","['Comedy', 'Drama', 'Romance']","3,000,000",N/A
117,Double Indemnity,8.3,"138,958","['Crime', 'Drama', 'Film-Noir']","927,262",N/A
118,To Kill a Mockingbird,8.2,"288,053","['Crime', 'Drama']","2,000,000","592,237"
119,Indiana Jones and the Last Crusade,8.2,"674,824","['Action', 'Adventure']","48,000,000","197,171,806"
120,Up,8.2,"908,441","['Animation', 'Adventure', 'Comedy']","175,000,000","293,004,164"
121,Idi i smotri,8.3,"53,339","['Drama', 'War']",N/A,"71,909"
122,Anand,8.5,"27,676","['Drama', 'Musical']","Budget:INR3,000,000",N/A
123,L.A. Confidential,8.2,"520,095","['Crime', 'Drama', 'Mystery']","35,000,000","64,616,940"
